CustomerID,Lookalikes
C0001,"[('C0194', 0.40256658199067696), ('C0104', 0.36422597256525524), ('C0199', 0.34694332180367965)]"
C0002,"[('C0030', 0.4138229466127133), ('C0091', 0.3774358874396935), ('C0071', 0.3296148699742966)]"
C0003,"[('C0134', 0.46363017428728054), ('C0181', 0.46192617911350076), ('C0144', 0.42693257543683943)]"
C0004,"[('C0070', 0.3411582139711988), ('C0175', 0.3316912745507667), ('C0105', 0.2761855325828108)]"
C0005,"[('C0096', 0.4568793686981275), ('C0023', 0.44864581648831336), ('C0055', 0.37904901735025304)]"
C0006,"[('C0040', 0.512749621422622), ('C0178', 0.38160226479401393), ('C0196', 0.2899928291509099)]"
C0007,"[('C0079', 0.6201717736392776), ('C0118', 0.447056750138242), ('C0020', 0.42101503333330803)]"
C0008,"[('C0169', 0.2808318581917098), ('C0165', 0.2635968827131176), ('C0028', 0.2635188414466188)]"
C0009,"[('C0083', 0.6669717802007957), ('C0060', 0.5367255756786545), ('C0097', 0.5242256191932693)]"
C0010,"[('C0094', 0.5293911493519663), ('C0092', 0.40395623984029966), ('C0034', 0.3457702019982203)]"
C0011,"[('C0135', 0.5077634003106593), ('C0120', 0.34475649333339214), ('C0107', 0.29654918261229196)]"
C0012,"[('C0164', 0.4831206360614532), ('C0158', 0.3627235596299642), ('C0173', 0.3603967966901592)]"
C0013,"[('C0169', 0.45387639879946284), ('C0092', 0.3580851634325894), ('C0099', 0.33650248658202536)]"
C0014,"[('C0128', 0.9097336339136276), ('C0058', 0.8287863820975522), ('C0097', 0.7967813809290278)]"
C0015,"[('C0073', 0.7014994316648758), ('C0036', 0.6082084338447044), ('C0059', 0.3612940618576128)]"
C0016,"[('C0187', 0.6343073606765686), ('C0064', 0.5428914588661921), ('C0052', 0.44860074444445425)]"
C0017,"[('C0071', 0.4213426536358256), ('C0024', 0.3631359519854257), ('C0037', 0.35020401023022735)]"
C0018,"[('C0177', 0.3525485508747803), ('C0115', 0.318780424519143), ('C0059', 0.31606668554458867)]"
C0019,"[('C0024', 0.3889899691420071), ('C0064', 0.3773140004728911), ('C0084', 0.3204681039017343)]"
C0020,"[('C0058', 0.6226932104743798), ('C0014', 0.5266798114036444), ('C0097', 0.5121289649871327)]"
